temps,T1,T2,T3
561.5,27.06958917,27.22151605,26.55922417
562,27.070023,27.22213471,26.55985034
562.5,27.07045513,27.22275122,26.56047435
563,27.07088556,27.2233656,26.56109619
563.5,27.0713143,27.22397785,26.56171589
564,27.07174136,27.22458798,26.56233343
564.5,27.07216673,27.22519599,26.56294884
565,27.07259044,27.2258019,26.56356211
565.5,27.07301248,27.22640571,26.56417326
566,27.07343286,27.22700742,26.56478229
566.5,27.07385159,27.22760705,26.56538921
567,27.07426868,27.22820459,26.56599403
567.5,27.07468413,27.22880007,26.56659676
568,27.07509794,27.22939349,26.5671974
568.5,27.07551013,27.22998484,26.56779596
569,27.0759207,27.23057415,26.56839244
569.5,27.07632965,27.23116141,26.56898686
570,27.076737,27.23174664,26.56957922
570.5,27.07714275,27.23232984,26.57016952
571,27.0775469,27.23291102,26.57075779
571.5,27.07794947,27.23349018,26.57134401
572,27.07835045,27.23406734,26.5719282
572.5,27.07874986,27.2346425,26.57251038
573,27.0791477,27.23521566,26.57309053
573.5,27.07954398,27.23578683,26.57366867
574,27.07993869,27.23635603,26.57424482
574.5,27.08033186,27.23692325,26.57481896
575,27.08072348,27.23748851,26.57539112
575.5,27.08111357,27.23805181,26.5759613
576,27.08150212,27.23861315,26.5765295
576.5,27.08188914,27.23917255,26.57709573
577,27.08227465,27.23973001,26.57766
577.5,27.08265864,27.24028554,26.57822232
578,27.08304112,27.24083914,26.57878269
578.5,27.08342209,27.24139083,26.57934111
579,27.08380158,27.2419406,26.57989761
579.5,27.08417956,27.24248846,26.58045217
580,27.08455607,27.24303443,26.58100482
580.5,27.08493109,27.2435785,26.58155555
581,27.08530464,27.24412069,26.58210437
581.5,27.08567673,27.244661,26.5826513
582,27.08604735,27.24519944,26.58319632
582.5,27.08641651,27.24573601,26.58373946
583,27.08678423,27.24627072,26.58428072
583.5,27.0871505,27.24680357,26.58482011
584,27.08751533,27.24733458,26.58535762
584.5,27.08787873,27.24786375,26.58589328
585,27.0882407,27.24839109,26.58642707
585.5,27.08860124,27.24891659,26.58695902
586,27.08896037,27.24944028,26.58748913
586.5,27.08931809,27.24996215,26.5880174
587,27.08967441,27.25048221,26.58854384
587.5,27.09002932,27.25100047,26.58906846
588,27.09038284,27.25151693,26.58959126
588.5,27.09073497,27.2520316,26.59011225
589,27.09108571,27.25254449,26.59063143
589.5,27.09143508,27.2530556,26.59114882
590,27.09178308,27.25356494,26.59166441
590.5,27.09212971,27.25407252,26.59217822
591,27.09247497,27.25457833,26.59269025
591.5,27.09281888,27.25508239,26.5932005
592,27.09316144,27.2555847,26.59370899
592.5,27.09350265,27.25608528,26.59421572
593,27.09384252,27.25658411,26.59472069
593.5,27.09418106,27.25708122,26.59522391
594,27.09451826,27.25757661,26.59572539
594.5,27.09485414,27.25807027,26.59622513
595,27.0951887,27.25856223,26.59672314
595.5,27.09552195,27.25905248,26.59721942
596,27.09585389,27.25954104,26.59771399
596.5,27.09618452,27.26002789,26.59820684
597,27.09651385,27.26051307,26.59869799
597.5,27.09684189,27.26099656,26.59918743
598,27.09716864,27.26147837,26.59967518
598.5,27.09749411,27.26195851,26.60016124
599,27.0978183,27.26243699,26.60064562
599.5,27.09814121,27.26291381,26.60112832
600,27.09846286,27.26338898,26.60160935
600.5,27.09878324,27.2638625,26.60208871
601,27.09910236,27.26433438,26.60256641
601.5,27.09942023,27.26480463,26.60304245
602,27.09973685,27.26527324,26.60351685
602.5,27.10005222,27.26574023,26.6039896
603,27.10036636,27.2662056,26.60446072
603.5,27.10067926,27.26666936,26.6049302
604,27.10099094,27.26713151,26.60539806
604.5,27.10130138,27.26759206,26.6058643
605,27.10161061,27.26805101,26.60632892
605.5,27.10191862,27.26850838,26.60679193
606,27.10222543,27.26896415,26.60725334
606.5,27.10253102,27.26941835,26.60771315
607,27.10283542,27.26987097,26.60817137
